Question,Ans1,Ans2,Ans3,Ans4,Ans5,Ans6,Correct ans,Check radio,Topic,Domain,Explanation

What is the term used to describe giving an AWS user only access to the exact services he/she needs to do the required job and nothing more?,,,,,,B,check,,,
What AWS service must you use if you want to configure an AWS billing alarm?,,,,,,,A,,,,
"Your company's upper management is getting very nervous about managing governance, compliance, and risk auditing in AWS. What service should you enable and inform upper management about?",,,,,,B,check,,,
The concept of elasticity is most closely associated with which of the following?,,,,,,A,check,,,
What endpoints are possible to send messages to with Simple Notification Service?,,,,,,,A,D,C,,
What does S3 stand for?,,,,,,A,check,,,
"Big Cloud Jumbo Corp is beginning to explore migrating their entire on-premises data center to AWS. They are very concerned about how much it will cost once their entire I.T. infrastructure is running on AWS. What tool can you recommend so that they can estimate what the cost of using AWS may be?",,,,,,B,check,,,
"Kunal is managing an application running on an on-premises data center. What best describes the challenges he faces that someone using the AWS cloud does not?",,,,,,C,check,,,
What AWS storage class should be used for long-term archival storage?,,,,,,A,check,,,
"What are the benefits of DynamoDB? (Select all that apply)","","","","","",B,C,D,check,,
What is the term used to describe giving an AWS user only access to the exact services he/she needs to do the required job and nothing more?,,,,,,B,check,,,
What AWS service must you use if you want to configure an AWS billing alarm?,,,,,,A,check,,,
"Your company's upper management is getting very nervous about managing governance, compliance, and risk auditing in AWS. What service should you enable and inform upper management about?",,,,,,B,check,,,
The concept of elasticity is most closely associated with which of the following?,,,,,,A,check,,,
What endpoints are possible to send messages to with Simple Notification Service?,,,,,,,A,D,C,,
What does S3 stand for?,,,,,,A,check,,,
"Big Cloud Jumbo Corp is beginning to explore migrating their entire on-premises data center to AWS. They are very concerned about how much it will cost once their entire I.T. infrastructure is running on AWS. What tool can you recommend so that they can estimate what the cost of using AWS may be?",,,,,,B,check,,,
"Kunal is managing an application running on an on-premises data center. What best describes the challenges he faces that someone using the AWS cloud does not?",,,,,,C,check,,,
What AWS storage class should be used for long-term archival storage?,,,,,,A,check,,,
"What are the benefits of DynamoDB? (Select all that apply)","","","","","",B,C,D,check,,
What best describes penetration testing?,,,,,,C,check,,,
"You are trying to organize and import (to AWS) gigabytes of data that are currently structured in JSON-like, name-value documents. What AWS service would best fit your needs?",,,,,,D,check,,,
What is the availability and durability rating of S3 Standard Storage Class?,,,,,,A,check,,,
"If you want to easily share a file with a friend, family or coworker, what AWS solution should you use?",,,,,,C,check,,,
What AWS service has built-in DDoS mitigation?,,,,,,A,check,,,
What is the term used to describe giving an AWS user only access to the exact services he/she needs to do the required job and nothing more?,,,,,,B,check,,,
What AWS service must you use if you want to configure an AWS billing alarm?,,,,,,A,check,,,
"Your company's upper management is getting very nervous about managing governance, compliance, and risk auditing in AWS. What service should you enable and inform upper management about?",,,,,,B,check,,,
The concept of elasticity is most closely associated with which of the following?,,,,,,A,check,,,
What endpoints are possible to send messages to with Simple Notification Service?,,,,,,,A,D,C,,
What does S3 stand for?,,,,,,A,check,,,
"Big Cloud Jumbo Corp is beginning to explore migrating their entire on-premises data center to AWS. They are very concerned about how much it will cost once their entire I.T. infrastructure is running on AWS. What tool can you recommend so that they can estimate what the cost of using AWS may be?",,,,,,B,check,,,
"Kunal is managing an application running on an on-premises data center. What best describes the challenges he faces that someone using the AWS cloud does not?",,,,,,C,check,,,
What AWS storage class should be used for long-term archival storage?,,,,,,A,check,,,
"What are the benefits of DynamoDB? (Select all that apply)","","","","","",B,C,D,check,,
What best describes penetration testing?,,,,,,C,check,,,
"You are trying to organize and import (to AWS) gigabytes of data that are currently structured in JSON-like, name-value documents. What AWS service would best fit your needs?",,,,,,D,check,,,
What is the availability and durability rating of S3 Standard Storage Class?,,,,,,A,check,,,
"If you want to easily share a file with a friend, family or coworker, what AWS solution should you use?",,,,,,C,check,,,
What AWS service has built-in DDoS mitigation?,,,,,,A,check,,,
"Thomas is managing the access rights and credentials for all the employees that have access to his company's AWS account. This morning, his was notified that some of these accounts may have been compromised, and he now needs to change the password policy and re-generate a new password for all users. What AWS service does Thomas need to use in order to accomplish this?",,,,,,D,check,,,
"What are the primary benefits of using Lambda? (Select all that apply)","","","","","",A,D,,check,,
"If you have a set of frequently accessed files that are used on a daily basis, what S3 storage class should you store them in?",,,,,,C,check,,,
"Which of the following will effect price you pay for an EC2 instance? (Select all that apply)","","","","","",A,C,D,,check,,
"If you want in-depth details on how to create, manage, and attach IAM access policies to IAM users, in what AWS resource should you look?",,,,,,B,check,,,
"You notice that five of your 10 S3 buckets are no longer available in your account, and you assume that they have been deleted. You are unsure who may have deleted them, and no one is taking responsibility. What should you do to investigate and find out who deleted the S3 buckets?",,,,,,B,check,,,
"What should you do if you believe your AWS account has been compromised? (Select all that apply)","","","","","",A,B,C,D,check,,
"Under what circumstances would someone want to use ElastiCache? (Select all that apply)","","","","","",C,D,,check,,
"What is the purpose of AWS's Route 53 service? (Select all that apply)","","","","","",C,D,,check,,
What AWS service allows you to have your own private network in the AWS cloud?,,,,,,B,check,,,
If you are using an on-demand EC2 instance how are you being charged for it?,,,,,,A,check,,,
"Tracy has created a web application, placing it's underlining infrastructure in the N. Virginia (US-East1) region. After several months, Tracy notices that much of the traffic coming to her website is coming from Japan. What can Tracy do to (best) help reduce latency for her users in Japan?",,,,,,C,check,,,
What best describes the concept of fault tolerance?,,,,,,A,check,,,
"Thomas is managing the access rights and credentials for all the employees that have access to his company's AWS account. This morning, his was notified that some of these accounts may have been compromised, and he now needs to change the password policy and re-generate a new password for all users. What AWS service does Thomas need to use in order to accomplish this?",,,,,,D,check,,,
"What are the primary benefits of using Lambda? (Select all that apply)","","","","","",A,D,,check,,
"If you have a set of frequently accessed files that are used on a daily basis, what S3 storage class should you store them in?",,,,,,C,check,,,
"Which of the following will effect price you pay for an EC2 instance? (Select all that apply)","","","","","",A,C,D,,check,,
"If you want in-depth details on how to create, manage, and attach IAM access policies to IAM users, in what AWS resource should you look?",,,,,,B,check,,,
What is the term used to describe giving an AWS user only access to the exact services he/she needs to do the required job and nothing more?,,,,,,B,check,,,
What AWS service must you use if you want to configure an AWS billing alarm?,,,,,,A,check,,,
"Your company's upper management is getting very nervous about managing governance, compliance, and risk auditing in AWS. What service should you enable and inform upper management about?",,,,,,B,check,,,
The concept of elasticity is most closely associated with which of the following?,,,,,,A,check,,,
What endpoints are possible to send messages to with Simple Notification Service?,,,,,,,A,D,C,,
What does S3 stand for?,,,,,,A,check,,,
"What best describes a simplified definition of the ""cloud""?",,,,,,B,check,,,
What is the purpose of a DNS server?,,,,,,B,check,,,
What best describes the concept of high availability?,,,,,,D,check,,,
What is the relationship between AWS global infrastructure and the concept of high availability?,,,,,,B,check,,,
"Mike is setting up the infrastructure for a web application that requires three EC2 instances to handle the expected demand. However, when testing the application, Mike find that all traffic to the application is being routed to only one of the servers. What AWS feature should he add to his application in order to have traffic evenly distributed between all three servers?",,,,,,A,check,,,
"Karen is building a website that is expected to have a minimum of 1000 users continually over the course of 24 hours. For 8 hours each day, traffic is expected to be at about 1800 users. What EC2 buying options should she use to handle all the traffic and be most cost-effective?",,,,,,C,check,,,
"You notice that five of your 10 S3 buckets are no longer available in your account, and you assume that they have been deleted. You are unsure who may have deleted them, and no one is taking responsibility. What should you do to investigate and find out who deleted the S3 buckets?",,,,,,B,check,,,
"What should you do if you believe your AWS account has been compromised? (Select all that apply)","","","","","",A,B,C,D,check,,
"Under what circumstances would someone want to use ElastiCache? (Select all that apply)","","","","","",C,D,,check,,
"What is the purpose of AWS's Route 53 service? (Select all that apply)","","","","","",C,D,,check,,
What AWS service allows you to have your own private network in the AWS cloud?,,,,,,B,check,,,
If you are using an on-demand EC2 instance how are you being charged for it?,,,,,,A,check,,,
"Tracy has created a web application, placing it's underlining infrastructure in the N. Virginia (US-East1) region. After several months, Tracy notices that much of the traffic coming to her website is coming from Japan. What can Tracy do to (best) help reduce latency for her users in Japan?",,,,,,C,check,,,
What best describes the concept of fault tolerance?,,,,,,A,check,,,
"Thomas is managing the access rights and credentials for all the employees that have access to his company's AWS account. This morning, his was notified that some of these accounts may have been compromised, and he now needs to change the password policy and re-generate a new password for all users. What AWS service does Thomas need to use in order to accomplish this?",,,,,,D,check,,,
"What are the primary benefits of using Lambda? (Select all that apply)","","","","","",A,D,,check,,
"If you have a set of frequently accessed files that are used on a daily basis, what S3 storage class should you store them in?",,,,,,C,check,,,
"Which of the following will effect price you pay for an EC2 instance? (Select all that apply)","","","","","",A,C,D,,check,,
"If you want in-depth details on how to create, manage, and attach IAM access policies to IAM users, in what AWS resource should you look?",,,,,,B,check,,,
"What best describes a simplified definition of the ""cloud""?",,,,,,B,check,,,
What is the purpose of a DNS server?,,,,,,B,check,,,
What best describes the concept of high availability?,,,,,,D,check,,,
What is the relationship between AWS global infrastructure and the concept of high availability?,,,,,,B,check,,,
"Mike is setting up the infrastructure for a web application that requires three EC2 instances to handle the expected demand. However, when testing the application, Mike find that all traffic to the application is being routed to only one of the servers. What AWS feature should he add to his application in order to have traffic evenly distributed between all three servers?",,,,,,A,check,,,
"Karen is building a website that is expected to have a minimum of 1000 users continually over the course of 24 hours. For 8 hours each day, traffic is expected to be at about 1800 users. What EC2 buying options should she use to handle all the traffic and be most cost-effective?",,,,,,C,check,,,
"You notice that five of your 10 S3 buckets are no longer available in your account, and you assume that they have been deleted. You are unsure who may have deleted them, and no one is taking responsibility. What should you do to investigate and find out who deleted the S3 buckets?",,,,,,B,check,,,
"What should you do if you believe your AWS account has been compromised? (Select all that apply)","","","","","",A,B,C,D,check,,
"Under what circumstances would someone want to use ElastiCache? (Select all that apply)","","","","","",C,D,,check,,
"What is the purpose of AWS's Route 53 service? (Select all that apply)","","","","","",C,D,,check,,
What AWS service allows you to have your own private network in the AWS cloud?,,,,,,B,check,,,
If you are using an on-demand EC2 instance how are you being charged for it?,,,,,,A,check,,,
"Tracy has created a web application, placing it's underlining infrastructure in the N. Virginia (US-East1) region. After several months, Tracy notices that much of the traffic coming to her website is coming from Japan. What can Tracy do to (best) help reduce latency for her users in Japan?",,,,,,C,check,,,
What best describes the concept of fault tolerance?,,,,,,A,check,,,
"Thomas is managing the access rights and credentials for all the employees that have access to his company's AWS account. This morning, his was notified that some of these accounts may have been compromised, and he now needs to change the password policy and re-generate a new password for all users. What AWS service does Thomas need to use in order to accomplish this?",,,,,,D,check,,,
"What are the primary benefits of using Lambda? (Select all that apply)","","","","","",A,D,,check,,
"If you have a set of frequently accessed files that are used on a daily basis, what S3 storage class should you store them in?",,,,,,C,check,,,
"Which of the following will effect price you pay for an EC2 instance? (Select all that apply)","","","","","",A,C,D,,check,,
"If you want in-depth details on how to create, manage, and attach IAM access policies to IAM users, in what AWS resource should you look?",,,,,,B,check,,,
"What are the TWO main security layers (firewalls) used inside a VPC?",,,,,,B,C,check,,,
"John, member of your company's development team, needs access to company's AWS account. What AWS service is used to manage such access?",,,,,,C,check,,,
What is a main benefit of CloudFront?,,,,,,D,check,,,
"If you have a large collection of reproducible objects, which S3 storage class should you use if low cost is your priority?",,,,,,C,check,,,
"Children's All Saints Hospital has millions of old medical records that they must save for regulatory reasons. These records will most likely never be accessed again. What is the best and most costeffective S3 storage option that will meet the hospitals needs?",,,,,,C,check,,,
In S3, what is a file that you upload called?,,,,,,D,check,,,
"What is the name of AWS's RDS SQL database engine?",,,,,,D,check,,,
"What is AWS's relational database service?",,,,,,D,check,,,
"What is the major difference between AWS's RDS and DynamoDB database services?",,,,,,C,check,,,
"If you want to monitor the average CPU usage of your EC2 instances, which AWS service should you use?",,,,,,C,check,,,
"Under what circumstances would you choose to use the AWS service CloudTrail?",,,,,,B,check,,,
"What term best describes the AWS pricing model?",,,,,,B,check,,,
"What MUST you do before you do any penetration testing on your account?",,,,,,B,check,,,
"Which of the following are AWS Support Plans? (Select all that apply)","","","","","",A,C,D,check,,
"What categories full under those analyzed by the AWS Trusted Advisor program? (Select all that apply)","","","","","",C,A,,check,,